##############################
##     Pa11y CI results     ##
##############################

##     Running Pa11y CI:
##         DATETIME: 2026-02-09T16_48_03
##         SITEMAP:  https://news.kcc.edu/pa11y-ci-sitemap.xml


Running Pa11y on 176 URLs:
 > https://news.kcc.edu/404.html - 0 errors
 > https://news.kcc.edu/archive/ - 0 errors
 > https://news.kcc.edu/events/ - 0 errors
 > https://news.kcc.edu/ - 0 errors
 > https://news.kcc.edu/news/ - 0 errors
 > https://news.kcc.edu/search/#gsc.tab=0 - 0 errors
 > https://news.kcc.edu/videos/ - 0 errors
 > https://news.kcc.edu/2026/02/06/microsoft-copilot-class-at-kcc-april-3.html - 0 errors
 > https://news.kcc.edu/2026/02/02/student-success-mentoring-program.html - 0 errors
 > https://news.kcc.edu/2026/01/30/nursing-students-in-the-community.html - 0 errors
 > https://news.kcc.edu/2026/01/30/student-trustee-application-available.html - 0 errors
 > https://news.kcc.edu/2026/01/14/applications-open-for-fast-path-program.html - 0 errors
 > https://news.kcc.edu/2026/01/12/fall-2025-daisy-award.html - 0 errors
 > https://news.kcc.edu/2026/01/09/explore-kcc-day-is-feb-16.html - 0 errors
 > https://news.kcc.edu/2025/12/18/kacc-students-attend-health-careers-exploration-day.html - 0 errors
 > https://news.kcc.edu/2025/12/18/fall-2025-president-s-list.html - 0 errors
 > https://news.kcc.edu/2025/12/18/fall-2025-honors-list.html - 0 errors
 > https://news.kcc.edu/2025/11/25/title-of-the-post.html - 0 errors
 > https://news.kcc.edu/2025/11/25/pack-the-place-basketball-event-dec-4.html - 0 errors
 > https://news.kcc.edu/2025/11/11/phi-theta-kappa-induction-ceremony.html - 0 errors
 > https://news.kcc.edu/2025/11/10/upcoming-cafeteria-hours.html - 0 errors
 > https://news.kcc.edu/2025/11/10/cafeteria-hours.html - 0 errors
 > https://news.kcc.edu/2025/11/04/explore-kcc-day-is-nov-11.html - 0 errors
 > https://news.kcc.edu/2025/10/29/kcc-night-with-the-chicago-bulls.html - 0 errors
 > https://news.kcc.edu/2025/10/28/lpn-grads-maintain-perfect-pass-rate.html - 0 errors
 > https://news.kcc.edu/2025/10/28/kcc-clubs-participate-in-walk-out-of-darkness.html - 0 errors
 > https://news.kcc.edu/2025/10/21/costume-contest-oct-29.html - 0 errors
 > https://news.kcc.edu/2025/10/17/free-halloween-movie-with-popcorn.html - 0 errors
 > https://news.kcc.edu/2025/10/14/feed-the-need-food-drive.html - 0 errors
 > https://news.kcc.edu/2025/10/13/thank-you-to-kcc-s-team.html - 0 errors
